         20514661 function calls (20358712 primitive calls) in 4.648 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      982    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
    513/5    0.002    0.000    0.428    0.086 <frozen importlib._bootstrap>:1022(_find_and_load)
        6    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1038(_gcd_import)
  528/116    0.001    0.000    0.323    0.003 <frozen importlib._bootstrap>:1053(_handle_fromlist)
      982    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
      513    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      513    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:169(__enter__)
      513    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
      982    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      513    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:198(cb)
      469    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
    686/8    0.000    0.000    0.427    0.053 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     4806    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
      507    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      917    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:391(cached)
     1071    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
      492    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
      432    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      492    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
  492/488    0.000    0.000    0.037    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
    492/7    0.001    0.000    0.427    0.061 <frozen importlib._bootstrap>:664(_load_unlocked)
      513    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
      504    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:770(create_module)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:795(is_package)
